listing_id,district,community,listing_type,property_type,bedrooms,bathrooms,size_sqm,price_aed,price_per_sqm_aed,furnished,amenities,latitude,longitude,listed_date,status,agency_type
LST-00001,Al Bateen,Al Bateen Park,rent,studio,0,1,40,47000,1175,true,built_in_wardrobes;central_ac;concierge;shared_garden;smart_home,24.44346,54.33836,2026-01-07,available,private_owner
LST-00002,Saadiyat Island,Saadiyat Island Towers,rent,townhouse,2,1,207,211000,1019,true,concierge;covered_parking,24.55181,54.43443,2026-05-12,let,developer_direct
LST-00003,Yas Island,Yas Island Gardens,rent,villa,7,7,426,436000,1023,false,built_in_wardrobes;pool;study,24.49566,54.6227,2026-04-07,available,brokerage
LST-00004,Al Reef,Al Reef Park,rent,villa,6,5,478,243000,508,false,built_in_wardrobes;covered_parking;gym;pool;security_24h,24.41989,54.67938,2025-09-18,available,brokerage
LST-00005,Al Reem Island,Al Reem Island Gardens,sale,studio,0,1,46,609000,13239,false,balcony;beach_access;central_ac;concierge;shared_garden,24.51054,54.39843,2026-04-19,available,brokerage
LST-00006,Saadiyat Island,Saadiyat Island Quarter,sale,apartment,4,5,159,2488000,15648,false,concierge;gym;smart_home;study,24.54628,54.45076,2025-11-17,under_offer,brokerage
LST-00007,Al Maryah Island,Al Maryah Island Views,rent,villa,4,5,674,966000,1433,false,beach_access;maids_room,24.49912,54.37991,2026-03-09,under_offer,brokerage
LST-00008,Masdar City,Masdar City Commons,rent,studio,0,1,30,25000,833,false,balcony;beach_access;covered_parking;gym;maids_room;security_24h,24.42649,54.63295,2026-04-07,under_offer,brokerage
LST-00009,Al Ghadeer,Al Ghadeer Gardens,sale,penthouse,3,2,297,2751000,9263,false,covered_parking;ev_charger;gym;kids_play_area;maids_room;study,24.30309,54.79616,2026-04-30,under_offer,developer_direct
LST-00010,Al Ghadeer,Al Ghadeer Commons,sale,apartment,2,2,201,1628000,8100,false,balcony;concierge;ev_charger;pool;security_24h;study,24.31698,54.79284,2026-02-24,under_offer,developer_direct
LST-00011,Zayed City,Zayed City Gardens,rent,apartment,3,3,63,39000,619,true,balcony;central_ac;ev_charger;gym,24.34296,54.57059,2025-10-02,available,private_owner
LST-00012,Corniche,Corniche Heights,sale,apartment,4,4,179,2747000,15346,true,beach_access;covered_parking;gym;shared_garden,24.48624,54.32755,2025-09-06,available,developer_direct
LST-00013,Mussafah,Mussafah Views,rent,studio,0,1,36,20000,556,true,balcony;beach_access;built_in_wardrobes;smart_home;study,24.33586,54.51967,2026-03-08,available,brokerage
LST-00014,Danet Abu Dhabi,Danet Abu Dhabi Views,sale,apartment,1,1,78,876000,11231,true,balcony;beach_access;concierge;ev_charger;pool,24.43848,54.38685,2026-04-15,sold,brokerage
LST-00015,Al Raha Beach,Al Raha Beach Residences,rent,penthouse,3,2,282,434000,1539,false,balcony;central_ac;gym;maids_room,24.44489,54.60195,2025-09-24,let,developer_direct
LST-00016,Saadiyat Island,Saadiyat Island Bay,sale,apartment,3,2,99,1591000,16071,true,gym;kids_play_area;maids_room;shared_garden;study,24.53857,54.40981,2026-04-04,sold,private_owner
LST-00017,Al Khalidiyah,Al Khalidiyah Commons,rent,apartment,4,5,100,83000,830,false,kids_play_area;smart_home,24.45788,54.35026,2026-02-28,let,brokerage
LST-00018,Saadiyat Island,Saadiyat Island Square,rent,apartment,1,1,195,203000,1041,false,central_ac;concierge;ev_charger;shared_garden;study,24.55233,54.45201,2026-04-10,available,developer_direct
LST-00019,Danet Abu Dhabi,Danet Abu Dhabi Towers,sale,villa,5,5,333,5673000,17036,true,built_in_wardrobes;shared_garden;smart_home;study,24.43303,54.38711,2025-09-03,sold,developer_direct
LST-00020,Khalifa City,Khalifa City Views,sale,studio,0,1,36,361000,10028,true,balcony;central_ac;gym;pool;shared_garden;smart_home,24.40492,54.59208,2026-05-19,sold,brokerage
LST-00021,Al Reem Island,Al Reem Island Gardens,sale,apartment,3,3,61,1022000,16754,false,balcony;concierge;kids_play_area,24.50055,54.38985,2025-11-09,under_offer,private_owner
LST-00022,Al Reef,Al Reef Residences,sale,townhouse,4,3,255,1882000,7380,false,built_in_wardrobes;concierge;covered_parking;maids_room;shared_garden;study,24.44495,54.69783,2025-11-26,available,private_owner
LST-00023,Masdar City,Masdar City Quarter,rent,apartment,2,3,237,168000,709,true,smart_home;study,24.44123,54.61567,2025-09-02,under_offer,developer_direct
LST-00024,Al Bateen,Al Bateen Bay,rent,apartment,2,2,140,160000,1143,false,balcony;gym;kids_play_area;maids_room;security_24h,24.43843,54.3178,2025-06-12,available,developer_direct
